raceId,year,round,name_race,date,circuitId,name_circuit
765,1958,1,Argentine Grand Prix,1958-01-19,25,Autódromo Juan y Oscar Gálvez
766,1958,2,Monaco Grand Prix,1958-05-18,6,Circuit de Monaco
767,1958,3,Dutch Grand Prix,1958-05-26,39,Circuit Park Zandvoort
768,1958,4,Indianapolis 500,1958-05-30,19,Indianapolis Motor Speedway
769,1958,5,Belgian Grand Prix,1958-06-15,13,Circuit de Spa-Francorchamps
770,1958,6,French Grand Prix,1958-07-06,55,Reims-Gueux
771,1958,7,British Grand Prix,1958-07-19,9,Silverstone Circuit
772,1958,8,German Grand Prix,1958-08-03,20,Nürburgring
773,1958,9,Portuguese Grand Prix,1958-08-24,59,Circuito da Boavista
774,1958,10,Italian Grand Prix,1958-09-07,14,Autodromo Nazionale di Monza
775,1958,11,Moroccan Grand Prix,1958-10-19,64,Ain Diab
776,1957,1,Argentine Grand Prix,1957-01-13,25,Autódromo Juan y Oscar Gálvez
777,1957,2,Monaco Grand Prix,1957-05-19,6,Circuit de Monaco
778,1957,3,Indianapolis 500,1957-05-30,19,Indianapolis Motor Speedway
779,1957,4,French Grand Prix,1957-07-07,53,Rouen-Les-Essarts
780,1957,5,British Grand Prix,1957-07-20,58,Aintree
781,1957,6,German Grand Prix,1957-08-04,20,Nürburgring
782,1957,7,Pescara Grand Prix,1957-08-18,65,Pescara Circuit
783,1957,8,Italian Grand Prix,1957-09-08,14,Autodromo Nazionale di Monza
784,1956,1,Argentine Grand Prix,1956-01-22,25,Autódromo Juan y Oscar Gálvez
785,1956,2,Monaco Grand Prix,1956-05-13,6,Circuit de Monaco
786,1956,3,Indianapolis 500,1956-05-30,19,Indianapolis Motor Speedway
787,1956,4,Belgian Grand Prix,1956-06-03,13,Circuit de Spa-Francorchamps
788,1956,5,French Grand Prix,1956-07-01,55,Reims-Gueux
789,1956,6,British Grand Prix,1956-07-14,9,Silverstone Circuit
790,1956,7,German Grand Prix,1956-08-05,20,Nürburgring
791,1956,8,Italian Grand Prix,1956-09-02,14,Autodromo Nazionale di Monza
792,1955,1,Argentine Grand Prix,1955-01-16,25,Autódromo Juan y Oscar Gálvez
793,1955,2,Monaco Grand Prix,1955-05-22,6,Circuit de Monaco
794,1955,3,Indianapolis 500,1955-05-30,19,Indianapolis Motor Speedway
795,1955,4,Belgian Grand Prix,1955-06-05,13,Circuit de Spa-Francorchamps
796,1955,5,Dutch Grand Prix,1955-06-19,39,Circuit Park Zandvoort
797,1955,6,British Grand Prix,1955-07-16,58,Aintree
798,1955,7,Italian Grand Prix,1955-09-11,14,Autodromo Nazionale di Monza
799,1954,1,Argentine Grand Prix,1954-01-17,25,Autódromo Juan y Oscar Gálvez
800,1954,2,Indianapolis 500,1954-05-31,19,Indianapolis Motor Speedway
801,1954,3,Belgian Grand Prix,1954-06-20,13,Circuit de Spa-Francorchamps
802,1954,4,French Grand Prix,1954-07-04,55,Reims-Gueux
803,1954,5,British Grand Prix,1954-07-17,9,Silverstone Circuit
804,1954,6,German Grand Prix,1954-08-01,20,Nürburgring
805,1954,7,Swiss Grand Prix,1954-08-22,66,Circuit Bremgarten
806,1954,8,Italian Grand Prix,1954-09-05,14,Autodromo Nazionale di Monza
807,1954,9,Spanish Grand Prix,1954-10-24,67,Circuit de Pedralbes
808,1953,1,Argentine Grand Prix,1953-01-18,25,Autódromo Juan y Oscar Gálvez
809,1953,2,Indianapolis 500,1953-05-30,19,Indianapolis Motor Speedway
810,1953,3,Dutch Grand Prix,1953-06-07,39,Circuit Park Zandvoort
811,1953,4,Belgian Grand Prix,1953-06-21,13,Circuit de Spa-Francorchamps
